group;start_time;total_time;task1_start;task1_end;task1_time_diff;task1_tlx_1;task1_tlx_2;task1_tlx_3;task1_tlx_4;task1_tlx_avg;task2_start;task2_end;task2_time_diff;task2_tlx_1;task2_tlx_2;task2_tlx_3;task2_tlx_4;task2_tlx_avg;task3_start;task3_end;task3_time_diff;task3_tlx_1;task3_tlx_2;task3_tlx_3;task3_tlx_4;task3_tlx_avg;task4_start;task4_end;task4_time_diff;task4_tlx_1;task4_tlx_2;task4_tlx_3;task4_tlx_4;task4_tlx_avg;task5_start;task5_end;task5_time_diff;task5_tlx_1;task5_tlx_2;task5_tlx_3;task5_tlx_4;task5_tlx_avg;pre_nsk_1;pre_nsk_2;pre_nsk_3;pre_nsk_avg;pre_siemk_1;pre_siemk_2;pre_siemk_3;pre_siemk_avg;pre_atkk_1;pre_atkk_2;pre_atkk_3;pre_atkk_avg;pre_siemdk_1;pre_siemdk_2;pre_siemdk_3;pre_siemd_avg;post_nsk_1;post_nsk_2;post_nsk_3;post_nsk_avg;post_siemk_1;post_siemk_2;post_siemk_3;post_siemk_avg;post_atkk_1;post_atkk_2;post_atkk_3;pst_atkk_avg;post_siemdk_1;post_siemdk_2;post_siemdk_3;post_siemdk_avg;pre_all_avg;post_all_avg;diff_siemk_1;diff_siemk_2;diff_siemk_3;diff_siemk_avg;diff_atkk_1;diff_atkk_2;diff_atkk_3;diff_atkk_avg;diff_siemdk_1;diff_siemdk_2;diff_siemdk_3;diff_siemdk_avg;diff_all_avg;post_A1;post_A2;post_RV1;post_RV2;post_C1;post_C2;post_S1;post_S2;post_A_avg;post_R_avg;post_C_avg;post_S_avg
Json;2022-01-18T09:18:59.833Z;2720;2022-01-18T09:34:47.961Z;2022-01-18T09:37:36.070Z;169;3;3;3;3;3.0000;2022-01-18T09:42:21.021Z;2022-01-18T09:46:24.699Z;243;3;3;3;4;3.2500;2022-01-18T09:49:01.422Z;2022-01-18T09:57:31.375Z;510;4;4;4;2;3.5000;2022-01-18T10:05:50.046Z;2022-01-18T10:08:17.642Z;604;4;4;4;4;4.0000;2022-01-18T10:08:43.650Z;2022-01-18T10:14:27.750Z;344;4;4;3;3;3.5000;0;1;0;0.3333;1;1;1;1.0000;1;0;0;0.3333;0;0;0;0.0000;0;1;0;0.3333;0;1;1;0.6667;1;0;0;0.3333;0;0;0;0.0000;0.4167;0.3333;-1;0;0;-0.3333;0;0;0;0.0000;0;0;0;0.0000;-0.0833;3;3;4;4;3;4;4;2;3.0000;4.0000;3.5000;3.0000
Json;2022-01-18T09:14:23.518Z;2104;2022-01-18T09:32:52.893Z;2022-01-18T09:33:32.765Z;40;1;1;1;4;1.7500;2022-01-18T09:38:31.393Z;2022-01-18T09:40:44.630Z;133;2;1;1;1;1.2500;2022-01-18T09:45:07.899Z;2022-01-18T09:49:30.458Z;263;2;1;1;1;1.2500;2022-01-18T09:53:09.105Z;2022-01-18T09:55:25.107Z;136;3;3;2;5;3.2500;2022-01-18T09:58:05.538Z;2022-01-18T10:00:31.538Z;146;1;2;1;3;1.7500;0;0;0;0.0000;0;1;1;0.6667;1;1;0;0.6667;1;0;0;0.3333;1;1;0;0.6667;0;1;1;0.6667;1;1;1;1.0000;1;1;1;1.0000;0.4167;0.8333;0;0;0;0.0000;0;0;1;0.3333;0;1;1;0.6667;0.4167;4;5;3;4;4;5;4;5;4.5000;3.5000;4.5000;4.5000
Json;2022-01-18T09:15:35.051Z;2469;2022-01-18T09:30:31.019Z;2022-01-18T09:34:57.052Z;266;4;3;3;1;2.7500;2022-01-18T09:39:29.413Z;2022-01-18T09:42:19.479Z;170;2;1;1;1;1.2500;2022-01-18T09:46:25.396Z;2022-01-18T09:49:11.549Z;166;2;2;2;2;2.0000;2022-01-18T09:50:38.351Z;2022-01-18T09:53:53.679Z;195;4;3;3;2;3.0000;2022-01-18T09:55:16.595Z;2022-01-18T10:04:01.539Z;525;4;4;4;4;4.0000;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;0;1;0;0.3333;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;1;0;1;0.6667;0.7500;0.8333;0;0;0;0.0000;0;0;0;0.0000;1;-1;1;0.3333;0.0833;5;5;5;5;5;5;5;4;5.0000;5.0000;5.0000;4.5000
Json;2022-01-18T09:14:16.822Z;3223;2022-01-18T09:26:35.863Z;2022-01-18T09:38:38.550Z;723;4;2;5;2;3.2500;2022-01-18T09:45:09.220Z;2022-01-18T09:46:58.799Z;109;1;2;3;2;2.0000;2022-01-18T09:52:38.011Z;2022-01-18T09:59:40.662Z;422;3;2;3;2;2.5000;2022-01-18T10:07:17.090Z;2022-01-18T10:09:51.997Z;154;1;2;4;1;2.0000;2022-01-18T10:11:57.846Z;2022-01-18T10:16:06.263Z;249;2;1;2;1;1.5000;1;0;0;0.3333;1;0;1;0.6667;1;0;1;0.6667;0;1;1;0.6667;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;0.5833;0.9167;0;1;0;0.3333;0;1;0;0.3333;1;0;0;0.3333;0.3333;5;5;4;3;4;5;4;4;5.0000;3.5000;4.5000;4.0000
Json;2022-01-18T09:15:50.075Z;3115;2022-01-18T09:39:38.516Z;2022-01-18T09:54:54.216Z;916;3;2;4;2;2.7500;2022-01-18T09:58:16.518Z;2022-01-18T10:01:53.100Z;217;3;2;2;1;2.0000;2022-01-18T10:05:18.440Z;2022-01-18T10:09:18.713Z;240;3;2;1;2;2.0000;2022-01-18T10:10:28.265Z;2022-01-18T10:19:25.799Z;537;3;2;4;3;3.0000;2022-01-18T10:21:23.331Z;2022-01-18T10:25:33.472Z;250;3;2;2;2;2.2500;0;1;1;0.6667;1;1;1;1.0000;1;0;0;0.3333;0;0;0;0.0000;1;1;0;0.6667;1;1;0;0.6667;1;0;1;0.6667;1;1;1;1.0000;0.5000;0.7500;0;0;-1;-0.3333;0;0;1;0.3333;1;1;1;1.0000;0.2500;3;4;3;3;4;4;3;3;3.5000;3.0000;4.0000;3.0000
Json;2022-01-18T09:15:15.008Z;2218;2022-01-18T09:32:21.244Z;2022-01-18T09:34:14.956Z;113;1;1;1;1;1.0000;2022-01-18T09:39:16.431Z;2022-01-18T09:42:11.882Z;175;2;2;2;2;2.0000;2022-01-18T09:46:59.791Z;2022-01-18T09:49:41.114Z;162;1;1;1;1;1.0000;2022-01-18T09:50:55.179Z;2022-01-18T09:53:49.122Z;174;2;2;2;2;2.0000;2022-01-18T09:56:09.630Z;2022-01-18T10:01:10.967Z;301;2;2;2;2;2.0000;1;1;0;0.6667;1;0;0;0.3333;1;1;0;0.6667;0;0;0;0.0000;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;1;0;1;0.6667;0.4167;0.8333;0;1;1;0.6667;0;0;1;0.3333;1;0;1;0.6667;0.4167;5;5;5;5;5;5;5;4;5.0000;5.0000;5.0000;4.5000
Json;2022-01-27T09:19:49.454Z;3248;2022-01-27T09:43:26.879Z;2022-01-27T09:43:46.925Z;20;4;1;1;1;1.7500;2022-01-27T09:54:37.885Z;2022-01-27T09:57:01.577Z;144;3;1;1;1;1.5000;2022-01-27T10:08:31.633Z;2022-01-27T10:08:31.634Z;200;4;1;1;1;1.7500;2022-01-27T10:15:30.345Z;2022-01-27T10:16:18.412Z;48;5;1;1;1;2.0000;2022-01-27T10:21:12.110Z;2022-01-27T10:25:58.726Z;286;5;1;1;2;2.2500;0;1;0;0.3333;0;1;1;0.6667;1;0;0;0.3333;0;0;0;0.0000;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;1;1;1;1.0000;0.3333;0.9167;1;0;0;0.3333;0;1;1;0.6667;1;1;1;1.0000;0.5833;5;5;4;5;5;5;4;5;5.0000;4.5000;5.0000;4.5000
Json;2022-01-27T09:20:31.439Z;2481;2022-01-27T09:43:58.049Z;2022-01-27T09:44:37.356Z;39;4;3;3;1;2.7500;2022-01-27T09:49:52.721Z;2022-01-27T09:50:58.755Z;66;1;1;1;1;1.0000;2022-01-27T09:59:38.780Z;2022-01-27T09:59:42.521Z;205;4;3;2;1;2.5000;2022-01-27T10:06:54.994Z;2022-01-27T10:07:29.763Z;35;4;2;2;1;2.2500;2022-01-27T10:09:48.029Z;2022-01-27T10:12:27.797Z;159;4;2;2;1;2.2500;0;1;0;0.3333;0;1;1;0.6667;1;1;0;0.6667;1;0;0;0.3333;1;1;0;0.6667;0;1;1;0.6667;1;1;1;1.0000;1;1;1;1.0000;0.5000;0.8333;0;0;0;0.0000;0;0;1;0.3333;0;1;1;0.6667;0.3333;5;5;5;4;5;5;5;5;5.0000;4.5000;5.0000;5.0000
Json;2022-01-27T09:17:28.067Z;3773;2022-01-27T09:34:40.857Z;2022-01-27T09:55:23.551Z;1243;4;4;4;1;3.2500;2022-01-27T09:59:52.520Z;2022-01-27T10:04:00.163Z;248;2;2;2;2;2.0000;2022-01-27T10:07:26.373Z;2022-01-27T10:13:09.315Z;343;2;2;2;2;2.0000;2022-01-27T10:14:06.228Z;2022-01-27T10:23:05.684Z;539;5;5;5;5;5.0000;2022-01-27T10:25:10.742Z;2022-01-27T10:31:58.556Z;408;4;4;4;5;4.2500;1;1;0;0.6667;0;0;1;0.3333;1;0;1;0.6667;0;1;0;0.3333;0;1;0;0.3333;0;0;1;0.3333;1;0;1;0.6667;0;1;0;0.3333;0.5000;0.4167;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;-0.0833;4;4;4;4;4;4;4;4;4.0000;4.0000;4.0000;4.0000
Json;2022-01-27T13:20:17.528Z;4127;2022-01-27T14:05:01.846Z;2022-01-27T14:05:54.383Z;53;5;5;5;4;4.7500;2022-01-27T14:08:30.251Z;2022-01-27T14:11:25.384Z;175;1;1;1;2;1.2500;2022-01-27T14:15:04.175Z;2022-01-27T14:22:51.778Z;467;4;4;4;2;3.5000;2022-01-27T14:23:54.681Z;2022-01-27T14:31:15.464Z;441;3;3;3;3;3.0000;2022-01-27T14:31:32.988Z;2022-01-27T14:37:57.163Z;385;3;3;3;3;3.0000;1;1;0;0.6667;1;1;1;1.0000;1;1;1;1.0000;0;0;1;0.3333;1;1;0;0.6667;1;1;1;1.0000;1;0;1;0.6667;1;1;0;0.6667;0.7500;0.7500;0;0;0;0.0000;0;-1;0;-0.3333;1;1;-1;0.3333;0.0000;4;4;4;4;4;4;4;4;4.0000;4.0000;4.0000;4.0000
